GPC_refno,activity_name,activity_units,activity_value,emission_factor_units,emission_factor_value,emissions_units,emissions_value,gas_name,id,region_code,region_name,source_name,temporal_granularity,year
I.3.1,natural gas consumption by industrial buildings,TJ,207413.53058133484,kg/TJ,56100.0,kg,11635899065.612885,CO2,74cef4dd-c220-3ef0-91e5-5741596a3261,AR-B,BUENOS AIRES,ENARGAS,annual,2019
I.2.1,natural gas consumption by commercial buildings,TJ,6759.0192942600015,kg/TJ,56100.0,kg,379180982.4079861,CO2,fea8482d-42a2-34e7-b70e-9335091cfdc2,AR-C,CAPITAL FEDERAL,ENARGAS,annual,2019
I.1.1,natural gas consumption by residential buildings,TJ,35899.112700360005,kg/TJ,56100.0,kg,2013940222.4901962,CO2,d6a7a200-53c5-3261-bb95-c4bfd1950667,AR-C,CAPITAL FEDERAL,ENARGAS,annual,2019
I.2.1,natural gas consumption by official entities,TJ,1840.1237238000003,kg/TJ,56100.0,kg,103230940.90518002,CO2,c6a1afba-77ab-3f3e-9104-610628ed0aee,AR-C,CAPITAL FEDERAL,ENARGAS,annual,2019
I.3.1,natural gas consumption by industrial buildings,TJ,2546.6658348000005,kg/TJ,56100.0,kg,142867953.33228004,CO2,657ac2e5-1702-3fb6-b51b-312c5cfb3515,AR-C,CAPITAL FEDERAL,ENARGAS,annual,2019
I.2.1,natural gas consumption by commercial buildings,TJ,113.78636862000002,kg/TJ,56100.0,kg,6383415.279582001,CO2,664750ae-999b-3fbc-b6b4-fc420e548397,AR-K,CATAMARCA,ENARGAS,annual,2019
I.1.1,natural gas consumption by residential buildings,TJ,478.8525899400001,kg/TJ,56100.0,kg,26863630.295634005,CO2,63484970-f3af-341a-91c7-a495a9e9f8c0,AR-K,CATAMARCA,ENARGAS,annual,2019
I.2.1,natural gas consumption by official entities,TJ,12.573724620000002,kg/TJ,56100.0,kg,705385.9511820001,CO2,bc2a0606-baf0-36d3-8490-84f990e69a22,AR-K,CATAMARCA,ENARGAS,annual,2019
I.3.1,natural gas consumption by industrial buildings,TJ,3008.3901311400004,kg/TJ,56100.0,kg,168770686.35695404,CO2,13d45d1e-af0a-35af-b207-cd0fbe6484c6,AR-K,CATAMARCA,ENARGAS,annual,2019
I.2.1,natural gas consumption by commercial buildings,TJ,3313.6630366200006,kg/TJ,56100.0,kg,185896496.35438204,CO2,2a0926f4-32a0-3824-8791-2cc3ed04402a,AR-U,CHUBUT,ENARGAS,annual,2019
I.1.1,natural gas consumption by residential buildings,TJ,24322.137984060006,kg/TJ,56100.0,kg,1364471940.9057662,CO2,49e7bbaa-97fe-3fe1-99df-7e3746f5287c,AR-U,CHUBUT,ENARGAS,annual,2019
I.2.1,natural gas consumption by official entities,TJ,1586.4303388200003,kg/TJ,56100.0,kg,88998742.00780202,CO2,63ff5ee8-3ded-307c-8266-3204f02213ef,AR-U,CHUBUT,ENARGAS,annual,2019
I.3.1,natural gas consumption by industrial buildings,TJ,26178.767154420006,kg/TJ,56100.0,kg,1468628837.3629622,CO2,2434f045-0ba3-3aec-83f2-30edfb746c53,AR-U,CHUBUT,ENARGAS,annual,2019
I.2.1,natural gas consumption by commercial buildings,TJ,3129.9231598200004,kg/TJ,56100.0,kg,175588689.265902,CO2,bba2b7b5-cbb0-3698-b93b-70200310327b,AR-X,CORDOBA,ENARGAS,annual,2019
I.1.1,natural gas consumption by residential buildings,TJ,20998.236899220003,kg/TJ,56100.0,kg,1178001090.0462422,CO2,8aecc0b1-d337-3a30-96b4-3752e31fe9c1,AR-X,CORDOBA,ENARGAS,annual,2019
I.2.1,natural gas consumption by official entities,TJ,623.8202385000001,kg/TJ,56100.0,kg,34996315.37985001,CO2,b36cb668-36b9-34f2-b71d-e2b3ae843e14,AR-X,CORDOBA,ENARGAS,annual,2019
I.3.1,natural gas consumption by industrial buildings,TJ,18499.724926200004,kg/TJ,56100.0,kg,1037834568.3598202,CO2,dcdd6899-310e-3680-a97c-6bbb286a2125,AR-X,CORDOBA,ENARGAS,annual,2019
I.2.1,natural gas consumption by commercial buildings,TJ,0.31142352000000006,kg/TJ,56100.0,kg,17470.859472000004,CO2,74d7e4aa-e148-3425-813a-ca6499beb6e4,AR-W,CORRIENTES,ENARGAS,annual,2019
