"";"Provincia";"Tipo de Usuario";"Año";"Consumo de Gas"
"469";"RIO NEGRO";"GNC";"2021";14298
"470";"RIO NEGRO";"INDUSTRIALES";"2021";161918
"471";"SALTA";"CENTRALES ELECTRICAS";"2021";116657
"472";"SALTA";"COMERCIALES";"2021";11474
"473";"SALTA";"RESIDENCIALES";"2021";118380
"474";"SALTA";"ENTES OFICIALES";"2021";2507
"475";"SALTA";"GNC";"2021";71248
"476";"SALTA";"INDUSTRIALES";"2021";143890,48916
"477";"SAN JUAN";"CENTRALES ELECTRICAS";"2021";2581
"478";"SAN JUAN";"COMERCIALES";"2021";8552
"479";"SAN JUAN";"RESIDENCIALES";"2021";95802
"480";"SAN JUAN";"ENTES OFICIALES";"2021";2307
"481";"SAN JUAN";"GNC";"2021";46455
"482";"SAN JUAN";"INDUSTRIALES";"2021";148182
"483";"SAN JUAN";"SDB";"2021";3564
"484";"SAN LUIS";"COMERCIALES";"2021";22609
"485";"SAN LUIS";"RESIDENCIALES";"2021";84759
"486";"SAN LUIS";"ENTES OFICIALES";"2021";4061
"487";"SAN LUIS";"GNC";"2021";43396
"488";"SAN LUIS";"INDUSTRIALES";"2021";100805
"489";"SAN LUIS";"SDB";"2021";25564
"490";"SANTA CRUZ";"CENTRALES ELECTRICAS";"2021";16787
"491";"SANTA CRUZ";"COMERCIALES";"2021";32557
"492";"SANTA CRUZ";"RESIDENCIALES";"2021";319679
"493";"SANTA CRUZ";"ENTES OFICIALES";"2021";25499
"494";"SANTA CRUZ";"INDUSTRIALES";"2021";2521
"495";"SANTA CRUZ";"SDB";"2021";155512
"496";"SANTA FE";"CENTRALES ELECTRICAS";"2021";2902,09
"497";"SANTA FE";"COMERCIALES";"2021";115153,93
"498";"SANTA FE";"RESIDENCIALES";"2021";450443,6
"499";"SANTA FE";"ENTES OFICIALES";"2021";20251,12
"500";"SANTA FE";"GNC";"2021";189529,71
"501";"SANTA FE";"INDUSTRIALES";"2021";1687839,37
"502";"SANTA FE";"SDB";"2021";86446,21
"503";"SANTIAGO DEL ESTERO";"CENTRALES ELECTRICAS";"2021";5130
"504";"SANTIAGO DEL ESTERO";"COMERCIALES";"2021";6169
"505";"SANTIAGO DEL ESTERO";"RESIDENCIALES";"2021";32692
"506";"SANTIAGO DEL ESTERO";"ENTES OFICIALES";"2021";1647
"507";"SANTIAGO DEL ESTERO";"GNC";"2021";35346
"508";"SANTIAGO DEL ESTERO";"INDUSTRIALES";"2021";13210,647
"509";"TIERRA DEL FUEGO";"CENTRALES ELECTRICAS";"2021";223375
"510";"TIERRA DEL FUEGO";"COMERCIALES";"2021";69550
"511";"TIERRA DEL FUEGO";"RESIDENCIALES";"2021";380277
"512";"TIERRA DEL FUEGO";"ENTES OFICIALES";"2021";33749
"513";"TIERRA DEL FUEGO";"GNC";"2021";704
"514";"TIERRA DEL FUEGO";"INDUSTRIALES";"2021";18414
"515";"TUCUMAN";"CENTRALES ELECTRICAS";"2021";1162625
"516";"TUCUMAN";"COMERCIALES";"2021";23479
"517";"TUCUMAN";"RESIDENCIALES";"2021";116377
"518";"TUCUMAN";"ENTES OFICIALES";"2021";4130
"519";"TUCUMAN";"GNC";"2021";107013
"520";"TUCUMAN";"INDUSTRIALES";"2021";223027,4852
"521";"BUENOS AIRES";"CENTRALES ELECTRICAS";"2022";1508218,96
"522";"BUENOS AIRES";"COMERCIALES";"2022";365570,91
"523";"BUENOS AIRES";"RESIDENCIALES";"2022";4195622,68
"524";"BUENOS AIRES";"ENTES OFICIALES";"2022";129414,4
"525";"BUENOS AIRES";"GNC";"2022";1056728,08
"526";"BUENOS AIRES";"INDUSTRIALES";"2022";5098333,81
"527";"BUENOS AIRES";"SDB";"2022";309527,58
"528";"CAPITAL FEDERAL";"CENTRALES ELECTRICAS";"2022";2036072
"529";"CAPITAL FEDERAL";"COMERCIALES";"2022";156539
"530";"CAPITAL FEDERAL";"RESIDENCIALES";"2022";954768
"531";"CAPITAL FEDERAL";"ENTES OFICIALES";"2022";42441
"532";"CAPITAL FEDERAL";"GNC";"2022";165241
"533";"CAPITAL FEDERAL";"INDUSTRIALES";"2022";74038
"534";"CATAMARCA";"COMERCIALES";"2022";2815
"535";"CATAMARCA";"RESIDENCIALES";"2022";12480
"536";"CATAMARCA";"ENTES OFICIALES";"2022";203
"537";"CATAMARCA";"GNC";"2022";15293
"538";"CATAMARCA";"INDUSTRIALES";"2022";102664
"539";"CHUBUT";"CENTRALES ELECTRICAS";"2022";127543,2
"540";"CHUBUT";"COMERCIALES";"2022";81991,12
"541";"CHUBUT";"RESIDENCIALES";"2022";698594,16
"542";"CHUBUT";"ENTES OFICIALES";"2022";44827,39
"543";"CHUBUT";"GNC";"2022";1344,8
"544";"CHUBUT";"INDUSTRIALES";"2022";395415,88
"545";"CORDOBA";"CENTRALES ELECTRICAS";"2022";155192
"546";"CORDOBA";"COMERCIALES";"2022";81182
"547";"CORDOBA";"RESIDENCIALES";"2022";633372
"548";"CORDOBA";"ENTES OFICIALES";"2022";15978
"549";"CORDOBA";"GNC";"2022";375725
"550";"CORDOBA";"INDUSTRIALES";"2022";672588
"551";"CORDOBA";"SDB";"2022";91408
"552";"CORRIENTES";"COMERCIALES";"2022";135
"553";"CORRIENTES";"RESIDENCIALES";"2022";18
"554";"CORRIENTES";"ENTES OFICIALES";"2022";0
"555";"CORRIENTES";"GNC";"2022";552
"556";"CORRIENTES";"INDUSTRIALES";"2022";4000
"557";"ENTRE RIOS";"COMERCIALES";"2022";21447
"558";"ENTRE RIOS";"RESIDENCIALES";"2022";92826
"559";"ENTRE RIOS";"ENTES OFICIALES";"2022";2047
"560";"ENTRE RIOS";"GNC";"2022";44974
"561";"ENTRE RIOS";"INDUSTRIALES";"2022";127732
"562";"JUJUY";"CENTRALES ELECTRICAS";"2022";27536
"563";"JUJUY";"COMERCIALES";"2022";10733
"564";"JUJUY";"RESIDENCIALES";"2022";52048
"565";"JUJUY";"ENTES OFICIALES";"2022";3572
"566";"JUJUY";"GNC";"2022";43101
"567";"JUJUY";"INDUSTRIALES";"2022";118770,59399
"568";"JUJUY";"SDB";"2022";0
"569";"LA PAMPA";"COMERCIALES";"2022";21067,7
"570";"LA PAMPA";"RESIDENCIALES";"2022";262763,7
"571";"LA PAMPA";"ENTES OFICIALES";"2022";16355,6
"572";"LA PAMPA";"GNC";"2022";7950
"573";"LA PAMPA";"INDUSTRIALES";"2022";37121,1
"574";"LA RIOJA";"CENTRALES ELECTRICAS";"2022";3152
"575";"LA RIOJA";"COMERCIALES";"2022";1902
"576";"LA RIOJA";"RESIDENCIALES";"2022";8845
"577";"LA RIOJA";"ENTES OFICIALES";"2022";323
"578";"LA RIOJA";"GNC";"2022";5101
"579";"LA RIOJA";"INDUSTRIALES";"2022";14825
"581";"MENDOZA";"CENTRALES ELECTRICAS";"2022";701279
"582";"MENDOZA";"COMERCIALES";"2022";42362
"583";"MENDOZA";"RESIDENCIALES";"2022";467726
"584";"MENDOZA";"ENTES OFICIALES";"2022";19650
"585";"MENDOZA";"GNC";"2022";136575
"586";"MENDOZA";"INDUSTRIALES";"2022";444985
"587";"MENDOZA";"SDB";"2022";40110
"588";"NEUQUEN";"CENTRALES ELECTRICAS";"2022";12933,88
"589";"NEUQUEN";"COMERCIALES";"2022";73242,73
"590";"NEUQUEN";"RESIDENCIALES";"2022";618833,44
"591";"NEUQUEN";"ENTES OFICIALES";"2022";37664,68
"592";"NEUQUEN";"GNC";"2022";6174,66
"593";"NEUQUEN";"INDUSTRIALES";"2022";137099,64
"595";"RIO NEGRO";"CENTRALES ELECTRICAS";"2022";4484,1
"596";"RIO NEGRO";"COMERCIALES";"2022";97351,71
"597";"RIO NEGRO";"RESIDENCIALES";"2022";751498,01
"598";"RIO NEGRO";"ENTES OFICIALES";"2022";39781,95
"599";"RIO NEGRO";"GNC";"2022";15215,8
"600";"RIO NEGRO";"INDUSTRIALES";"2022";65919,95
"601";"SALTA";"CENTRALES ELECTRICAS";"2022";63489
"602";"SALTA";"COMERCIALES";"2022";12247
"603";"SALTA";"RESIDENCIALES";"2022";120504
"604";"SALTA";"ENTES OFICIALES";"2022";3174
"605";"SALTA";"GNC";"2022";72423
"606";"SALTA";"INDUSTRIALES";"2022";176105,24
"607";"SAN JUAN";"CENTRALES ELECTRICAS";"2022";17488
"608";"SAN JUAN";"COMERCIALES";"2022";9510
"609";"SAN JUAN";"RESIDENCIALES";"2022";101305
"610";"SAN JUAN";"ENTES OFICIALES";"2022";2667
"611";"SAN JUAN";"GNC";"2022";46457
"612";"SAN JUAN";"INDUSTRIALES";"2022";171693
"613";"SAN JUAN";"SDB";"2022";3749
"614";"SAN LUIS";"COMERCIALES";"2022";18014
"615";"SAN LUIS";"RESIDENCIALES";"2022";89353
"616";"SAN LUIS";"ENTES OFICIALES";"2022";4440
"617";"SAN LUIS";"GNC";"2022";45678
"618";"SAN LUIS";"INDUSTRIALES";"2022";103938
"619";"SAN LUIS";"SDB";"2022";26814
"620";"SANTA CRUZ";"CENTRALES ELECTRICAS";"2022";12112,8
"621";"SANTA CRUZ";"COMERCIALES";"2022";37863,1
"622";"SANTA CRUZ";"RESIDENCIALES";"2022";318746,29
"623";"SANTA CRUZ";"ENTES OFICIALES";"2022";28342,28
"624";"SANTA CRUZ";"INDUSTRIALES";"2022";6996,94
"625";"SANTA CRUZ";"SDB";"2022";172408,5
"626";"SANTA FE";"CENTRALES ELECTRICAS";"2022";5996
"627";"SANTA FE";"COMERCIALES";"2022";88406,13
"628";"SANTA FE";"RESIDENCIALES";"2022";506539,09
"629";"SANTA FE";"ENTES OFICIALES";"2022";25640,14
"630";"SANTA FE";"GNC";"2022";192579,03
"631";"SANTA FE";"INDUSTRIALES";"2022";1572794,02
"632";"SANTA FE";"SDB";"2022";92706,5
"633";"SANTIAGO DEL ESTERO";"CENTRALES ELECTRICAS";"2022";3730
"634";"SANTIAGO DEL ESTERO";"COMERCIALES";"2022";6562
"635";"SANTIAGO DEL ESTERO";"RESIDENCIALES";"2022";32267
"636";"SANTIAGO DEL ESTERO";"ENTES OFICIALES";"2022";2105
"637";"SANTIAGO DEL ESTERO";"GNC";"2022";37253
"638";"SANTIAGO DEL ESTERO";"INDUSTRIALES";"2022";13503,433
"639";"TIERRA DEL FUEGO";"CENTRALES ELECTRICAS";"2022";238148,66
"640";"TIERRA DEL FUEGO";"COMERCIALES";"2022";73813,16
"641";"TIERRA DEL FUEGO";"RESIDENCIALES";"2022";396577,16
"642";"TIERRA DEL FUEGO";"ENTES OFICIALES";"2022";35986,47
"643";"TIERRA DEL FUEGO";"GNC";"2022";704,35
"644";"TIERRA DEL FUEGO";"INDUSTRIALES";"2022";21490,66
"645";"TUCUMAN";"CENTRALES ELECTRICAS";"2022";923080
"646";"TUCUMAN";"COMERCIALES";"2022";26810
"647";"TUCUMAN";"RESIDENCIALES";"2022";117166
"648";"TUCUMAN";"ENTES OFICIALES";"2022";6950
"649";"TUCUMAN";"GNC";"2022";106766
"650";"TUCUMAN";"INDUSTRIALES";"2022";191033,50545
