id,actor_id,year,sector,gpc_refno,gas,emissions_quantity,units
a89395f5-8dc7-39fa-9fea-a174fb1c869c,AU GEX,2021,Industry,IV.1,co2,443808317,kg
4774c1cc-7cd7-32b1-bcdc-42ac14826541,AU GOC,2019,Residential,I.1.1,co2,85316793,kg
fbd8ff25-8291-3f47-86ac-b7e646f9b229,AU GOC,2019,Ground Transport,II.1.1,co2,63189160,kg
8db6b11c-a8b9-380c-8bfc-11131dc1a1ab,AU GOC,2019,Aviation,II.4.1,co2,1325970,kg
db9c2718-ca68-316d-8d73-265df2af5da2,AU GOC,2019,Industry,IV.1,co2,397767330,kg
0d247253-81d5-343e-aa5a-80b73ce3311d,AU GOC,2020,Residential,I.1.1,co2,88129692,kg
5d60eb5f-c6aa-3829-930d-b24677f98ada,AU GOC,2020,Ground Transport,II.1.1,co2,54506096,kg
783c3d41-5f5a-3840-9873-9fb478d9531d,AU GOC,2020,Aviation,II.4.1,co2,757658,kg
678f492f-035e-34af-ae87-518b68bbcd74,AU GOC,2020,Industry,IV.1,co2,370109685,kg
fa35a764-1a1a-350f-8bdc-6ff686171b06,AU GOC,2021,Residential,I.1.1,co2,85301708,kg
50e7ddca-4be8-30af-ba59-c3c7dd58604d,AU GOC,2021,Ground Transport,II.1.1,co2,60518106,kg
229affe4-4f53-394e-9631-548306797db1,AU GOC,2021,Aviation,II.4.1,co2,913314,kg
70c07029-96a7-3948-ab21-84af84e85333,AU GOC,2021,Industry,IV.1,co2,361958949,kg
041e7130-b51a-3686-b90c-17f72bb2a29b,AU NTL,2019,Residential,I.1.1,co2,133571839,kg
e1d8a907-77ee-351d-b470-ff023ae2572e,AU NTL,2019,Power,I.4.1,co2,169190,kg
6d78e046-2061-3f54-850c-98b4f1af052c,AU NTL,2019,Ground Transport,II.1.1,co2,80566609,kg
bfe4be05-42be-3c18-8133-31063fa2b589,AU NTL,2019,Aviation,II.4.1,co2,4816813,kg
40c823b4-905c-318f-86d9-cca3acf9e720,AU NTL,2019,Industry,IV.1,co2,629634298,kg
898a047a-726b-3c48-9b78-1d448e44f7f6,AU NTL,2020,Residential,I.1.1,co2,137119641,kg
75e3edbe-4652-32f3-9e9b-07fade0fdcb8,AU NTL,2020,Power,I.4.1,co2,163017,kg
30d59507-611e-31fe-b8d4-7db8461c21cf,AU NTL,2020,Ground Transport,II.1.1,co2,69496888,kg
038832b7-6242-35da-9f78-ae91272083e6,AU NTL,2020,Aviation,II.4.1,co2,2790012,kg
1c962c46-9d8d-3625-b2e4-54d5fd36ed70,AU NTL,2020,Industry,IV.1,co2,585866804,kg
3e19d3dd-6d0f-3b01-aa89-561c2805aab6,AU NTL,2021,Residential,I.1.1,co2,133199840,kg
