Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,Bolivia,Bolivia,BO,361.05,312.95,37.21,37.21,cndc.bo; Electricity Maps Estimation,FALSE,
2022-01-01 00:00:00,Bolivia,Bolivia,BO,362.56,320.29,36.95,36.95,cndc.bo; Electricity Maps Estimation,FALSE,
2023-01-01 00:00:00,Bolivia,Bolivia,BO,399.36,349.40,30.55,30.55,cndc.bo; Electricity Maps Estimation,FALSE,
2024-01-01 00:00:00,Bolivia,Bolivia,BO,379.61,333.33,33.98,33.98,cndc.bo; Electricity Maps Estimation,FALSE,
2021-01-01 00:00:00,Brazil,Brazil,BR,124.66,169.07,78.19,75.69,,FALSE,
2022-01-01 00:00:00,Brazil,Brazil,BR,59.03,91.77,89.73,87.32,,FALSE,
2023-01-01 00:00:00,Brazil,Brazil,BR,50.42,82.48,91.23,89.00,,FALSE,
2024-01-01 00:00:00,Brazil,Brazil,BR,57.45,91.48,90.01,87.73,,FALSE,
2021-01-01 00:00:00,Bahamas,Bahamas,BS,572.18,696.79,0.49,0.49,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 00:00:00,Bahamas,Bahamas,BS,572.31,696.94,0.47,0.47,EMBER + Electricity Maps Estimation; Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 00:00:00,Bahamas,Bahamas,BS,568.13,692.18,1.19,1.19,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 00:00:00,Bahamas,Bahamas,BS,567.52,691.48,1.30,1.30,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 00:00:00,Bhutan,Bhutan,BT,0.75,24.78,99.90,99.90,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 00:00:00,Bhutan,Bhutan,BT,7.30,31.62,99.04,99.02,EMBER + Electricity Maps Estimation; Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 00:00:00,Bhutan,Bhutan,BT,39.60,65.51,94.78,94.72,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 00:00:00,Bhutan,Bhutan,BT,86.41,114.59,88.60,88.50,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 00:00:00,Botswana,Botswana,BW,744.29,811.44,0.25,0.25,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 00:00:00,Botswana,Botswana,BW,745.96,812.28,0.24,0.24,Electricity Maps Estimation; IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 00:00:00,Botswana,Botswana,BW,744.39,811.52,0.24,0.24,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 00:00:00,Botswana,Botswana,BW,743.80,811.22,0.24,0.24,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 00:00:00,Belarus,Belarus,BY,336.74,436.24,17.08,2.58,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 00:00:00,Belarus,Belarus,BY,342.22,446.68,14.90,2.90,EMBER + Electricity Maps Estimation; Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 00:00:00,Belarus,Belarus,BY,274.20,361.65,31.60,3.15,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 00:00:00,Belarus,Belarus,BY,234.24,310.85,41.97,3.91,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 00:00:00,Belize,Belize,BZ,79.86,198.58,86.11,86.11,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 00:00:00,Belize,Belize,BZ,87.62,216.13,84.76,84.76,EMBER + Electricity Maps Estimation; Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
