region,formula_input_value,formula_input_units,datasource,actor_id,gas,parameter_code,parameter_name,year,formula_name,metadata,rnk,methodology_name,gpc_refno,methodology_id,formulainput_id
Guyana,75.0,g/capita/day,FAO stat,GY,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,07144cc6-2ac7-4b7c-8528-ea084749b83e
Haiti,48.0,g/capita/day,FAO stat,HT,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,79167d4c-939f-4c62-a7e8-9ecf12a164c0
Honduras,65.0,g/capita/day,FAO stat,HN,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,0b8268f0-706d-4826-8bac-9403a2f7e348
Hungary,82.0,g/capita/day,FAO stat,HU,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,61c55047-65a0-49c4-9cd5-a9c2721f498d
Iceland,132.0,g/capita/day,FAO stat,IS,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,fb7cb261-0e21-4765-b07e-9260b6751d9d
India,59.0,g/capita/day,FAO stat,IN,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,88a4ad70-03df-4b63-b022-a8c3e07d09ba
Indonesia,60.0,g/capita/day,FAO stat,ID,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,24023693-cf10-43cd-b058-3adb8bbf4f99
Iran (Islamic Republic of),86.0,g/capita/day,FAO stat,IR,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,41ac1774-7b8d-408f-8841-9f331bc69db4
Iraq,61.0,g/capita/day,FAO stat,IQ,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,0257bba2-3394-4b19-bed2-f3a2f21d82e8
Ireland,108.0,g/capita/day,FAO stat,IE,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,a84580e4-0938-4e89-a4a3-7ef9d5ad59a1
Israel,126.0,g/capita/day,FAO stat,IL,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,4456e226-d4f3-4f94-b732-1af15f6898de
Italy,111.0,g/capita/day,FAO stat,IT,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,de649c43-1d6a-46c4-9ebc-2b0dd88506be
Jamaica,77.0,g/capita/day,FAO stat,JM,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,1c026bbf-d736-40d7-a22a-92d4d3751db4
Japan,88.0,g/capita/day,FAO stat,JP,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,925d7b80-ea64-4741-b780-f77edb071747
Jordan,82.0,g/capita/day,FAO stat,JO,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,4410070d-c143-4310-903e-0bf03fe7bc92
Kazakhstan,97.0,g/capita/day,FAO stat,KZ,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,d7f967ae-9e4c-4e34-bcf1-8c0c8ca409f4
Kenya,61.0,g/capita/day,FAO stat,KE,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,3d99a974-d94d-491b-a8a9-cc20bd18176a
Kiribati,74.0,g/capita/day,FAO stat,KI,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,509c6079-897e-4f64-84aa-c379a4f4dc01
Kuwait,108.0,g/capita/day,FAO stat,KW,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,02ff60dd-6f73-4e3d-b8ee-0f1ecc429b6d
Kyrgyzstan,85.0,g/capita/day,FAO stat,KG,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,5acb220f-2adf-4f7d-a85e-1765d68cb43b
Lao People's Democratic Republic,63.0,g/capita/day,FAO stat,LA,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,5fd93a04-fb4a-454a-bbe5-b6dadeef8a67
Latvia,97.0,g/capita/day,FAO stat,LV,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,0a485a64-81e6-461c-bb76-b1917d0ef7fc
Lebanon,81.0,g/capita/day,FAO stat,LB,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,07be77ff-3e35-42b5-925f-5fa3247da00b
Lesotho,74.0,g/capita/day,FAO stat,LS,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,dd938925-a967-4647-b8e9-eb8b120beb5d
Liberia,37.0,g/capita/day,FAO stat,LR,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,b4046361-79ae-44a4-923b-6614a0e255b2
Lithuania,124.0,g/capita/day,FAO stat,LT,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,fa4f8328-999e-4fcb-a0b5-de9a6b1dc856
Luxembourg,112.0,g/capita/day,FAO stat,LU,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,eeb06f4f-080b-4014-b351-7dcf6a18d95c
Madagascar,48.0,g/capita/day,FAO stat,MG,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,ff6c8703-6866-42c0-abbb-927ee09d14ad
Malawi,62.0,g/capita/day,FAO stat,MW,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,eba34cca-06e3-4d9c-95ba-1152ce12713a
Malaysia,79.0,g/capita/day,FAO stat,MY,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,5de727d5-5da1-4b87-bc16-8b5c98672645
Maldives,105.0,g/capita/day,FAO stat,MV,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,9107ce1c-64be-41a8-ae96-1c54a0870d32
Mali,82.0,g/capita/day,FAO stat,ML,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,e72a5100-9a6a-49bb-a03d-4548e6dfdf85
Malta,109.0,g/capita/day,FAO stat,MT,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,49f69c92-6892-4547-9ae7-4258d2ec7733
Mauritania,80.0,g/capita/day,FAO stat,MR,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,ed22b78a-f74c-42c7-80c8-0d52ae118e7f
Mauritius,90.0,g/capita/day,FAO stat,MU,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,6ebb9a32-968d-4a18-a45f-48c0f7b8f9b9
Mexico,86.0,g/capita/day,FAO stat,MX,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,6109608c-0176-443f-baa4-1843bed204ef
Mongolia,78.0,g/capita/day,FAO stat,MN,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,16b5651f-380d-4c60-b0dd-30741bba688a
Montenegro,111.0,g/capita/day,FAO stat,ME,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,81aadab3-b3af-4ef0-95d9-1c3171ab3465
Morocco,94.0,g/capita/day,FAO stat,MA,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,ad79df27-5018-4573-9777-21af42a5ff45
