gas,parameter_code,parameter_name,methodology_name,gpc_refno,year,formula_input_value,formula_input_units,formula_name,metadata,region,actor_id,datasource,rnk,methodology_id,formulainput_id
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.1,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Latin America And Caribbean,TT,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,f1e81d51-ff80-4248-989a-7d04b52b503f
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.3,,0.3,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-centralized-aerobic-treatment-plan-well-managed""}",world,world,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,40b95c6b-5e6c-4686-82f9-7d8d86d2a451
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.3,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Africa,GH,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,c4209a82-695c-43ef-bb9c-6f1e2b93f52f
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.3,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Africa,LS,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,86902f84-179e-4414-a212-8e9f20efdf43
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.3,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Africa,LY,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,ae022443-11ca-4bda-9240-82459fc70e3f
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.3,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Africa,ZM,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,b065ecea-2ecd-4c93-baea-dae81e605a2f
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.3,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,LK,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,2256fad9-60ac-4b3b-a293-4eccde099e85
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.3,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,MY,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,54317197-4dd2-4576-81a4-fdda42bc8501
CH4,MCF,methane-correction-factor,wastewater-outside-domestic-calculator-activity,III.4.2,,0.7,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Australia And New Zealand,NZ,IPCC,1,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,aa77dfcb-47c7-464b-aa91-4ff84e8dc3fd
CH4,MCF,methane-correction-factor,wastewater-outside-domestic-calculator-activity,III.4.2,,0.75,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,AE,IPCC,1,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,baa0a619-c3f7-48a4-b81e-cfa8849bcf59
CH4,MCF,methane-correction-factor,wastewater-outside-domestic-calculator-activity,III.4.2,,0.75,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,BD,IPCC,1,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,438e5372-92d3-4869-91ca-4b15448f7881
CH4,MCF,methane-correction-factor,wastewater-outside-domestic-calculator-activity,III.4.2,,0.75,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,LB,IPCC,1,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,cf19ab25-87c6-4fa5-a67b-470aa2844d5a
CH4,MCF,methane-correction-factor,wastewater-outside-domestic-calculator-activity,III.4.2,,0.75,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,SG,IPCC,1,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,e17e8a0e-f7ee-4cb2-8cdd-8cc09f66c7f2
CH4,MCF,methane-correction-factor,wastewater-outside-domestic-calculator-activity,III.4.2,,0.75,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,VN,IPCC,1,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,9abe763f-4c45-4537-a55f-b2eacce9ded0
